Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Pricelog,Propertycountlog,Landsizelog,BuildingArealog,Age,stname
242,4,3,1380000.0,5,143,12-2017,7.5,133,4.0,2.0,2.0,766.0,,1970.0,21,-37.75595,144.90551000000005,4,1543.0,14.137594057133388,7.341483852363161,6.641182169740591,0.0,47.0,1179
230,2,3,1100000.0,1,179,05-2017,5.5,146,2.0,1.0,1.0,189.0,,1970.0,15,-37.7767,144.9924,5,11364.0,13.9108207377686,9.338205742974079,5.241747015059643,0.0,47.0,2111
277,3,3,1480000.0,4,179,10-2016,9.2,177,3.0,1.0,4.0,605.0,116.0,1950.0,31,-37.7951,145.0696,8,7809.0,14.207552645740298,8.963032193662675,6.405228458030842,4.7535901911063645,66.0,1705
194,3,3,1055000.0,3,143,07-2016,5.2,121,3.0,1.0,1.0,324.0,,1930.0,14,-37.7653,144.9586,5,11918.0,13.869051324892304,9.385805141306925,5.780743515792329,0.0,86.0,1710
235,4,3,1000000.0,5,134,08-2016,13.8,149,4.0,3.0,2.0,728.0,164.0,1970.0,28,-37.768,145.1027,7,5420.0,13.815510557964274,8.597851094433691,6.590301048196686,5.099866427824199,46.0,1835
140,2,1,650000.0,3,114,04-2017,7.8,81,2.0,1.0,1.0,136.0,81.0,1975.0,14,-37.7449,144.9754,5,11204.0,13.38472764187182,9.324026136379999,4.912654885736052,4.394449154672439,42.0,2180
275,3,3,1510000.0,4,134,10-2016,9.2,175,3.0,2.0,2.0,370.0,,1970.0,31,-37.8597,145.0883,8,10412.0,14.227620208791107,9.250714266114455,5.91350300563827,0.0,46.0,1919
100,3,1,600000.0,3,143,04-2017,9.9,59,3.0,1.0,1.0,204.0,124.0,2008.0,14,-37.7234,144.9497,5,7485.0,13.304684934198283,8.920656296853728,5.318119993844216,4.820281565605037,9.0,515
153,4,3,1260000.0,1,143,05-2016,8.8,93,4.0,3.0,2.0,654.0,150.0,1950.0,15,-37.7365,145.0173,5,14577.0,14.04662227892766,9.587200223074012,6.483107351457199,5.0106352940962555,66.0,1706
45,4,3,645400.0,3,114,07-2016,13.5,39,4.0,2.0,3.0,765.0,,1970.0,8,-37.786,144.815,4,6763.0,13.377625558599998,8.81922185757494,6.639875833826536,0.0,46.0,1236
140,3,3,870000.0,3,143,08-2016,7.8,81,3.0,1.0,1.0,371.0,100.0,1980.0,14,-37.735,144.9558,5,11204.0,13.676248490630767,9.324026136379999,5.916202062607435,4.605170185988092,36.0,1946
279,3,2,1135000.0,3,179,09-2016,11.2,178,3.0,3.0,2.0,0.0,130.0,1988.0,30,-37.8812,145.05700000000004,8,8801.0,13.94214320889764,9.082620630373812,0.0,4.867534450455582,28.0,1931
124,4,3,770000.0,3,93,05-2017,9.2,81,4.0,1.0,1.0,545.0,,1970.0,14,-37.7304,144.9605,5,3445.0,13.554145793829866,8.144679183447758,6.300785794663244,0.0,47.0,1062
