Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Pricelog,Propertycountlog,Landsizelog,BuildingArealog,Age,stname
190,4,3,1380000.0,3,130,12-2017,7.5,106,4.0,2.0,2.0,766.0,,1970.0,13,-37.75595,144.90551000000005,3,1543.0,14.137594057133388,7.341483852363161,6.641182169740591,0.0,47.0,1986
82,2,3,1100000.0,1,139,05-2017,5.5,46,2.0,1.0,1.0,189.0,,1970.0,5,-37.7767,144.9924,1,11364.0,13.9108207377686,9.338205742974079,5.241747015059643,0.0,47.0,1396
269,3,3,1480000.0,5,139,10-2016,9.2,175,3.0,1.0,4.0,605.0,116.0,1950.0,29,-37.7951,145.0696,4,7809.0,14.207552645740298,8.963032193662675,6.405228458030842,4.7535901911063645,66.0,1888
80,3,3,1055000.0,4,130,07-2016,5.2,44,3.0,1.0,1.0,324.0,,1930.0,8,-37.7653,144.9586,1,11918.0,13.869051324892304,9.385805141306925,5.780743515792329,0.0,86.0,702
235,4,3,1000000.0,3,112,08-2016,13.8,155,4.0,3.0,2.0,728.0,164.0,1970.0,30,-37.768,145.1027,6,5420.0,13.815510557964274,8.597851094433691,6.590301048196686,5.099866427824199,46.0,2425
99,2,1,650000.0,4,168,04-2017,7.8,55,2.0,1.0,1.0,136.0,81.0,1975.0,8,-37.7449,144.9754,1,11204.0,13.38472764187182,9.324026136379999,4.912654885736052,4.394449154672439,42.0,1030
234,3,3,1510000.0,5,112,10-2016,9.2,154,3.0,2.0,2.0,370.0,,1970.0,29,-37.8597,145.0883,4,10412.0,14.227620208791107,9.250714266114455,5.91350300563827,0.0,46.0,1313
103,3,1,600000.0,4,130,04-2017,9.9,60,3.0,1.0,1.0,204.0,124.0,2008.0,8,-37.7234,144.9497,1,7485.0,13.304684934198283,8.920656296853728,5.318119993844216,4.820281565605037,9.0,1119
105,4,3,1260000.0,1,130,05-2016,8.8,61,4.0,3.0,2.0,654.0,150.0,1950.0,5,-37.7365,145.0173,1,14577.0,14.04662227892766,9.587200223074012,6.483107351457199,5.0106352940962555,66.0,1474
110,4,3,645400.0,4,168,07-2016,13.5,68,4.0,2.0,3.0,765.0,,1970.0,9,-37.786,144.815,3,6763.0,13.377625558599998,8.81922185757494,6.639875833826536,0.0,46.0,1509
99,3,3,870000.0,4,130,08-2016,7.8,55,3.0,1.0,1.0,371.0,100.0,1980.0,8,-37.735,144.9558,1,11204.0,13.676248490630767,9.324026136379999,5.916202062607435,4.605170185988092,36.0,624
179,3,2,1135000.0,4,139,09-2016,11.2,104,3.0,3.0,2.0,0.0,130.0,1988.0,6,-37.8812,145.05700000000004,4,8801.0,13.94214320889764,9.082620630373812,0.0,4.867534450455582,28.0,1601
76,4,3,770000.0,4,121,05-2017,9.2,55,4.0,1.0,1.0,545.0,,1970.0,8,-37.7304,144.9605,1,3445.0,13.554145793829866,8.144679183447758,6.300785794663244,0.0,47.0,824
172,3,3,785000.0,4,168,06-2016,12.8,98,3.0,1.0,2.0,606.0,141.0,1965.0,13,-37.7311,144.8663,3,5629.0,13.573438996764546,8.635687085464026,6.406879986069314,4.948759890378168,51.0,1527
188,3,2,752000.0,4,200,09-2016,11.7,116,4.0,2.0,2.0,217.0,,1993.0,20,-37.8522,145.1312,4,5678.0,13.530491602931978,8.644354337032917,5.37989735354046,0.0,23.0,2837
141,3,3,890000.0,1,121,07-2016,5.9,81,3.0,1.0,1.0,242.0,110.0,1920.0,13,-37.7765,144.9114,3,6567.0,13.698976741708323,8.789812386190972,5.488937726156687,4.700480365792417,96.0,2117
158,3,3,1405000.0,4,189,05-2017,7.5,90,3.0,2.0,2.0,185.0,185.0,1985.0,29,-37.8255,145.0481,4,6482.0,14.155547860749984,8.776784383701493,5.220355825078324,5.220355825078324,32.0,1697
74,4,3,651000.0,5,124,05-2017,11.2,59,4.0,1.0,2.0,587.0,,1970.0,8,-37.69897,144.90998000000005,1,8870.0,13.386264921190707,9.090430075303626,6.375024819828097,0.0,47.0,1595
169,4,3,871500.0,5,80,08-2016,7.7,76,4.0,2.0,0.0,389.0,158.0,1990.0,14,-37.8284,144.8861,3,1223.0,13.677971143942212,7.109062135687172,5.963579343618446,5.062595033026967,26.0,1454
9,2,1,572500.0,5,189,08-2016,7.7,7,2.0,2.0,1.0,1307.0,,1960.0,2,-37.8838,144.9853,4,8989.0,13.257768014410532,9.103756886573398,7.175489713624222,0.0,56.0,327
167,4,3,865000.0,4,174,09-2017,16.1,120,4.0,2.0,2.0,734.0,211.0,1980.0,29,-37.6929,145.1272,1,8524.0,13.670484785914017,9.050640993218508,6.598509028614515,5.351858133476067,37.0,2979
180,2,3,3260000.0,4,184,02-2017,4.6,107,2.0,2.0,2.0,334.0,,1970.0,6,-37.8361,145.023,4,7217.0,14.99723775334289,8.884194633072273,5.811140992976701,0.0,47.0,4059
1,2,1,450000.0,3,28,07-2016,2.8,1,2.0,1.0,1.0,0.0,55.0,2014.0,1,-37.8091,144.9609,1,17496.0,13.017002861746503,9.769727562356604,0.0,4.007333185232471,2.0,75
243,4,3,525000.0,4,140,05-2017,34.9,162,4.0,2.0,2.0,550.0,172.0,2010.0,18,-38.08981,145.17353,5,8060.0,13.17115354157376,8.994668835500674,6.309918278226516,5.147494476813453,7.0,2503
153,3,3,880000.0,4,162,08-2017,15.5,87,3.0,2.0,2.0,504.0,,1970.0,19,-37.94043,145.09313999999995,5,3692.0,13.687677186454389,8.213923595622743,6.222576268071369,0.0,47.0,3608
137,6,3,2150000.0,3,130,04-2017,6.9,79,6.0,3.0,2.0,912.0,,1970.0,13,-37.77,144.9189,3,6232.0,14.580978400103845,8.737452587550584,6.815639990074331,0.0,47.0,2296
206,4,3,3000000.0,4,97,03-2017,8.5,112,4.0,2.0,2.0,661.0,204.0,1970.0,10,-37.8844,145.0117,4,4898.0,14.914122846632385,8.496582237512113,6.493753839851686,5.318119993844216,47.0,1874
